id,name_en,oil_type,botanical_names,description_summary,use_categories,aromatherapy_mentioned,safety_flags,source_url,source_name,accessed_date
119,Thyme oil,essential oil or volatile aromatic oil,,Thyme oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Thyme,Wikipedia: List of essential oils,2026-05-08
120,Tsuga,essential oil or volatile aromatic oil,,Tsuga belongs to the pine tree family.,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Tsuga,Wikipedia: List of essential oils,2026-05-08
121,Turmeric,essential oil or volatile aromatic oil,,"Turmeric, used to flavor food.",flavor/food,0,,https://en.wikipedia.org/wiki/Turmeric,Wikipedia: List of essential oils,2026-05-08
122,Valerian,essential oil or volatile aromatic oil,,Valerian,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Valerian_(herb),Wikipedia: List of essential oils,2026-05-08
123,Warionia,essential oil or volatile aromatic oil,,"Warionia, used as a perfume ingredient",perfumery/fragrance,0,,https://en.wikipedia.org/wiki/Warionia,Wikipedia: List of essential oils,2026-05-08
124,Vetiver oil,essential oil or volatile aromatic oil,,"Vetiver oil (khus oil) a thick, amber oil, primarily from India. Used as a fixative in perfumery, and in aromatherapy.",aromatherapy; perfumery/fragrance,1,,https://en.wikipedia.org/wiki/Vetiver#Other_uses,Wikipedia: List of essential oils,2026-05-08
125,Western red cedar,essential oil or volatile aromatic oil,,Western red cedar,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Western_red_cedar,Wikipedia: List of essential oils,2026-05-08
126,Wintergreen,essential oil or volatile aromatic oil,,Wintergreen,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Wintergreen,Wikipedia: List of essential oils,2026-05-08
127,Yarrow oil,essential oil or volatile aromatic oil,,Yarrow oil,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Yarrow_oil,Wikipedia: List of essential oils,2026-05-08
128,Ylang-ylang,essential oil or volatile aromatic oil,,Ylang-ylang,general essential-oil/perfumery reference,0,,https://en.wikipedia.org/wiki/Ylang-ylang,Wikipedia: List of essential oils,2026-05-08
